131399	131537	139
131538	131681	144
131682	131778	97
131779	131823	45
131824	131887	64
131888	131960	73
131961	131967	7
131968	131974	7
131975	131995	21
131996	132410	415
132411	132472	62
132473	132546	74
132547	132677	131
132678	132740	63
132741	133594	854
133595	134440	846
134441	134580	140
134581	134998	418
134999	135230	232
135231	135384	154
135385	135439	55
135440	135499	60
135500	135695	196
135696	135803	108
135804	135942	139
135943	136075	133
136076	136157	82
136158	136218	61
136219	136247	29
136248	136248	1
136249	136249	1
136250	136256	7
136257	136268	12
136269	136269	1
136270	136272	3
136273	136273	1
136274	136277	4
136278	136289	12
136290	136307	18
136308	136336	29
136337	136476	140
136477	136586	110
136587	136712	126
136713	137037	325
137038	137060	23
137061	137188	128
137189	137230	42
137231	137313	83
137314	137398	85
137399	137455	57
137456	137487	32
137488	137504	17
137505	137524	20
137525	137561	37
137562	137666	105
137667	137730	64
137731	137780	50
137781	137807	27
137808	137863	56
137864	137892	29
137893	137893	1
137894	137894	1
137895	137895	1
137896	137993	98
137994	138392	399
138393	138400	8
138401	138428	28
138429	138445	17
138446	138524	79
138525	138525	1
138526	138547	22
138548	138574	27
138575	138595	21
138596	138631	36
138632	138661	30
138662	138673	12
138674	138733	60
138734	138756	23
138757	138768	12
138769	138806	38
138807	138875	69
138876	138946	71
138947	138989	43
138990	139040	51
139041	139165	125
139166	139280	115
139281	139363	83
139364	139381	18
139382	139507	126
139508	139513	6
139514	139595	82
139596	139837	242
139838	139938	101
139939	140241	303
140242	140399	158
140400	140549	150
140550	140611	62
140612	140715	104
140716	140797	82
140798	140895	98
140896	141849	954
141850	142295	446
142296	142419	124
142420	142483	64
142484	142547	64
142548	143203	656
143204	143410	207
143411	143501	91
143502	143947	446
143948	144438	491
144439	144570	132
144571	144634	64
144635	144798	164
144799	144889	91
144890	145038	149
145039	145102	64
145103	145166	64
145167	145210	44
145211	145258	48
145259	145301	43
145302	145359	58
145360	145430	71
145431	145468	38
145469	145534	66
145535	145695	161
145696	145835	140
145836	145896	61
145897	146006	110
146007	146086	80
146087	146153	67
146154	146300	147
146301	146405	105
146406	146647	242
146648	146725	78
146726	147176	451
147177	147266	90
147267	147320	54
147321	147422	102
147423	147531	109
147532	147619	88
147620	147669	50
147670	147791	122
147792	147861	70
147862	147889	28
147890	147910	21
147911	147946	36
147947	147975	29
147976	147993	18
147994	148008	15
148009	148139	131
148140	148332	193
148333	148348	16
148349	148349	1
148350	148350	1
148351	148353	3
148354	149013	660
149014	149838	825
149839	149979	141
149980	150052	73
150053	150264	212
150265	150831	567
150832	151310	479
151311	151416	106
151417	151548	132
151549	151573	25
151574	151706	133
151707	151745	39
151746	151794	49
151795	151818	24
151819	151953	135
151954	152063	110
152064	152220	157
152221	152333	113
152334	152448	115
152449	152584	136
152585	152684	100
152685	152759	75
152760	152866	107
152867	152867	1
152868	152917	50
152918	153051	134
153052	153153	102
153154	154299	1146
154300	154391	92
154392	156598	2207
156599	156701	103
156702	156782	81
156783	156846	64
156847	156958	112
156959	157114	156
157115	157265	151
157266	157307	42
157308	157363	56
157364	157449	86
157450	157490	41
157491	157530	40
157531	157594	64
157595	158586	992
158587	158695	109
158696	158756	61
158757	158805	49
158806	158897	92
158898	158980	83
158981	160020	1040
160021	160323	303
160324	160561	238
160562	160717	156
160718	160793	76
160794	161039	246
161040	161283	244
161284	161702	419
161703	161967	265
161968	162144	177
162145	162153	9
162154	162179	26
162180	162206	27
162207	162229	23
162230	162336	107
162337	162646	310
162647	162715	69
162716	162847	132
162848	163082	235
163083	163124	42
163125	163427	303
163428	163668	241
163669	164068	400
164069	164102	34
164103	164219	117
164220	164516	297
164517	164623	107
164624	164700	77
164701	164759	59
164760	164790	31
164791	164826	36
164827	164856	30
164857	164924	68
164925	165008	84
165009	165110	102
165111	165157	47
165158	165236	79
165237	165351	115
165352	165439	88
165440	165640	201
165641	165941	301
165942	166095	154
166096	166215	120
166216	166258	43
166259	166353	95
166354	166407	54
166408	166443	36
166444	166482	39
166483	166557	75
166558	166597	40
166598	166727	130
166728	166863	136
166864	166966	103
166967	166981	15
166982	168036	1055
168037	168307	271
168308	168427	120
168428	168622	195
168623	170226	1604
170227	170388	162
170389	170485	97
170486	170611	126
170612	170656	45
170657	170701	45
170702	170864	163
170865	170930	66
170931	171103	173
171104	171146	43
171147	171313	167
171314	171356	43
171357	171445	89
171446	171584	139
171585	171695	111
171696	171729	34
171730	171954	225
171955	172036	82
172037	172158	122
172159	172210	52
172211	172403	193
172404	172476	73
172477	172764	288
172765	172981	217
172982	173215	234
173216	173571	356
173572	173689	118
173690	173959	270
173960	174071	112
174072	174340	269
174341	174594	254
174595	174654	60
174655	174708	54
174709	174841	133
174842	175253	412
175254	175413	160
175414	175542	129
175543	175670	128
175671	175700	30
175701	175725	25
175726	175743	18
175744	176062	319
176063	176104	42
176105	176428	324
176429	176627	199
176628	176698	71
176699	177008	310
177009	177198	190
177199	178300	1102
178301	178817	517
178818	178884	67
178885	179163	279
179164	179285	122
179286	179509	224
179510	179609	100
179610	179722	113
179723	179784	62
179785	179854	70
179855	179959	105
179960	180224	265
180225	180268	44
180269	180324	56
180325	180374	50
180375	180512	138
180513	180553	41
180554	180780	227
180781	181003	223
181004	181309	306
181310	181534	225
181535	183515	1981
183516	183977	462
183978	185257	1280
185258	185314	57
185315	185368	54
185369	185418	50
185419	185454	36
185455	185940	486
185941	185987	47
185988	186079	92
186080	186119	40
186120	186336	217
186337	186453	117
186454	186518	65
186519	186563	45
186564	186664	101
